morador,numerocontrole,Bloco,DT_VISITA,DT_TERMINO,TEMPO_TOTAL_ENTREV,Idade,Pais,Estado,Cidade,Bairro_BH,Regiao_BH,T_pernoite,T_qtpernoite,T_hospedagem,T_transp,T_motivo,T_outromoivo,Dias_carnaval,Gasto_total,T_Hospedagem,Alimentacao,T_Atrativos_passeios,Transporte_interno,Compras,Ingressos,Outros,Total,Qtd_pessoas_gasto,Fonte_carnaval,Participou_anosanteriores,Evolucao,Motivo,Expectativas,Aval_geral,Aval_banheiros,Aval_seguranca,Aval_precos,Proxima_edicao,Motivo_nao,Blocos_de_Rua,Escola_samba_caricato,Eventos_privados,Palcos,T_visita_amigos,T_citytour,T_visitacultural,T_compras,T_gastronomia,Principal_patrocinador,Outr_patrocinador,Genero,Esclaridade,Estado_civil,Faixa_renda
Morador,1532,Bloco Despedida de Carnaval,14/02/2018 09:53,14/02/2018 09:58,0:05:04,19,Brasil,Minas Gerais,Santa Luzia,NA,NA,NA,NA,NA,NA,NA,NA,3,100,NA,60,NA,40,,,,100,1,Outro,Sim,Melhorou,,Atendeu plenamente,3,6,6,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Masculino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1533,Bloco Despedida de Carnaval,14/02/2018 09:55,14/02/2018 09:59,0:04:38,24,Brasil,Minas Gerais,Belo Horizonte,Bandeirantes,Pampulha,NA,NA,NA,NA,NA,NA,2,40,NA,20,NA,20,,,,40,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,,,Nao satisfez/decepcionou,6,5,7,2,Nao,Falta de infraestrutura,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior incompleto,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1534,Bloco Despedida de Carnaval,14/02/2018 09:58,14/02/2018 10:02,0:04:24,19,Brasil,Minas Gerais,Belo Horizonte,Prado,Oeste,NA,NA,NA,NA,NA,NA,2,15,NA,,NA,10,,,5,15,1,Internet (site),Nao,,,Atendeu plenamente,7,3,2,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Feminino,Ensino medio completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1535,Bloco Despedida de Carnaval,14/02/2018 09:58,14/02/2018 10:04,0:05:12,21,Brasil,Minas Gerais,Belo Horizonte,Barreiro,Barreiro,NA,NA,NA,NA,NA,NA,3,390,NA,280,NA,60,50,,,390,1,Amigos/Familiares,Sim,Melhorou,,Superou,7,7,7,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Masculino,Ensino superior incompleto,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1536,Bloco Despedida de Carnaval,14/02/2018 09:59,14/02/2018 10:04,0:05:17,17,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,NA,NA,NA,NA,NA,NA,4,120,NA,80,NA,40,,,,120,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,7,6,4,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino tecnico,Solteiro (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,1537,Bloco Despedida de Carnaval,14/02/2018 10:00,14/02/2018 10:05,0:04:46,23,Brasil,Minas Gerais,Belo Horizonte,Ouro Preto,Pampulha,NA,NA,NA,NA,NA,NA,4,60,NA,40,NA,20,,,,60,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu em parte,3,3,2,6,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Masculino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1538,Bloco Despedida de Carnaval,14/02/2018 10:04,14/02/2018 10:11,0:07:33,28,Brasil,Minas Gerais,Belo Horizonte,Barreiro,Barreiro,NA,NA,NA,NA,NA,NA,4,430,NA,300,NA,80,30,,20,430,3,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,6,9,9,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1539,Bloco Despedida de Carnaval,14/02/2018 10:04,14/02/2018 10:10,0:05:15,27,Brasil,Minas Gerais,Belo Horizonte,Carmo,Centro sul,NA,NA,NA,NA,NA,NA,2,150,NA,100,NA,20,,,,120,2,Amigos/Familiares,Sim,Melhorou,,Atendeu plenamente,8,7,5,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Ensino superior incompleto,Casado (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1540,Bloco Despedida de Carnaval,14/02/2018 10:05,14/02/2018 10:11,0:06:10,31,Brasil,Minas Gerais,Belo Horizonte,Cruzeiro,Centro sul,NA,NA,NA,NA,NA,NA,3,230,NA,150,NA,80,,,,230,1,Amigos/Familiares,Nao,,,Atendeu plenamente,8,9,8,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Pos – Graduaçao – Especializaçao,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1541,Bloco Despedida de Carnaval,14/02/2018 10:08,14/02/2018 10:12,0:04:49,24,Brasil,Minas Gerais,Belo Horizonte,Salgado Filho,Oeste,NA,NA,NA,NA,NA,NA,3,300,NA,200,NA,100,,,,300,1,Amigos/Familiares,Sim,Melhorou,,Atendeu em parte,1,6,6,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Masculino,Ensino superior incompleto,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1542,Bloco Despedida de Carnaval,14/02/2018 10:10,14/02/2018 10:15,0:05:28,33,Brasil,Minas Gerais,Belo Horizonte,Nova Pampulha,Pampulha,NA,NA,NA,NA,NA,NA,1,400,NA,200,NA,160,,10,30,400,3,Amigos/Familiares,Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,8,7,5,10,Sim,,Sim,Nao,Sim,Nao,NA,NA,NA,NA,NA,Skol,Amstel,Feminino,Ensino superior completo,Casado (a),"Acima de 10 salarios (acima de R$ 9540,00)"
Morador,1543,Bloco Despedida de Carnaval,14/02/2018 10:12,14/02/2018 10:21,0:08:59,22,Brasil,Minas Gerais,Belo Horizonte,Santa Ines,Leste,NA,NA,NA,NA,NA,NA,6,191,NA,80,NA,100,5,,6,191,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,7,7,7,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),Nao sabe
Morador,1544,Bloco Despedida de Carnaval,14/02/2018 10:13,14/02/2018 10:19,0:06:31,20,Brasil,Minas Gerais,Belo Horizonte,Jardim America,Oeste,NA,NA,NA,NA,NA,NA,4,90,NA,50,NA,40,,,,90,1,Internet (site),Sim,Melhorou,,Superou,7,10,5,8,Sim,,Sim,Nao,Nao,Sim,NA,NA,NA,NA,NA,Skol,Ambev,Masculino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,1545,Bloco Despedida de Carnaval,14/02/2018 10:13,14/02/2018 10:21,0:07:46,18,Brasil,Minas Gerais,Belo Horizonte,Providencia,Norte,NA,NA,NA,NA,NA,NA,4,90,NA,50,NA,10,30,,,90,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Piorou,Muita gente,Superou,6,9,10,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior incompleto,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
Visitantes,1546,Bloco Despedida de Carnaval,14/02/2018 10:18,14/02/2018 10:24,0:05:38,22,Brasil,Minas Gerais,Timoteo,NA,NA,Sim,4,Casa de Amigos/Parentes,onibus rodoviario,Sim,NA,4,200,,160,40,,,,,200,1,Internet (site),Sim,Melhorou,,Atendeu plenamente,8,5,5,7,Sim,,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Skol,Prefeitura,Feminino,Ensino superior incompleto,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,1547,Bloco Despedida de Carnaval,14/02/2018 10:19,14/02/2018 10:24,0:05:05,20,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,NA,NA,NA,NA,NA,NA,2,200,NA,150,NA,50,,,,200,1,Amigos/Familiares,Sim,Melhorou,,Atendeu plenamente,4,5,6,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Masculino,Ensino medio completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,1548,Bloco Despedida de Carnaval,14/02/2018 10:21,14/02/2018 10:28,0:07:01,46,Brasil,Minas Gerais,Belo Horizonte,Fernao Dias,Nordeste,NA,NA,NA,NA,NA,NA,1,65,NA,20,NA,15,30,,,65,3,Internet (site),Nao,,,Superou,6,9,6,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Populaçao,Masculino,Pos – Graduaçao – Especializaçao,Casado (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Morador,1549,Bloco Despedida de Carnaval,14/02/2018 10:23,14/02/2018 10:30,0:06:44,28,Brasil,Minas Gerais,Belo Horizonte,Centro,Centro sul,NA,NA,NA,NA,NA,NA,5,670,NA,500,NA,20,150,,,670,1,Internet (site),Sim,Piorou,Outro   violencia,Atendeu plenamente,1,5,7,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Ambev,Prefeitura,Masculino,Pos – Graduaçao – Doutorado,Solteiro (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,1550,Bloco Despedida de Carnaval,14/02/2018 10:25,14/02/2018 10:29,0:04:30,19,Brasil,Minas Gerais,Belo Horizonte,Salgado Filho,Oeste,NA,NA,NA,NA,NA,NA,5,120,NA,80,NA,40,,,,120,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,,Atendeu plenamente,8,10,5,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino medio completo,Solteiro (a),"de 3 a 4 salarios (R$ 2812,00 – R$ 3816,00)"
Morador,1551,Bloco Despedida de Carnaval,14/02/2018 10:29,14/02/2018 10:34,0:05:45,32,Brasil,Minas Gerais,Belo Horizonte,Venda Nova,Venda Nova,NA,NA,NA,NA,NA,NA,1,60,NA,50,NA,10,,,,60,1,Jornais/Revistas,Sim,Melhorou,,Superou,9,5,1,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Prefeitura,,Feminino,Ensino medio completo,Casado (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1552,Bloco Despedida de Carnaval,14/02/2018 10:30,14/02/2018 10:38,0:08:18,33,Brasil,Minas Gerais,Belo Horizonte,Lourdes,Centro sul,NA,NA,NA,NA,NA,NA,6,400,NA,350,NA,50,,,,400,1,Amigos/Familiares,Sim,Melhorou,,Atendeu em parte,7,8,8,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,Uber,Feminino,Pos – Graduaçao – Doutorado,Solteiro (a),"de 4 a 5 salarios (R$ 3749,00 – R$ 4770,00)"
Morador,1553,Bloco Despedida de Carnaval,14/02/2018 10:30,14/02/2018 10:36,0:05:56,33,Brasil,Minas Gerais,Belo Horizonte,Santa Branca,Pampulha,NA,NA,NA,NA,NA,NA,6,600,NA,360,NA,240,,,,600,1,Internet (site),Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,1,6,8,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino medio completo,Casado (a),"de 8 a 9 salarios (R$ 7497,00 – R$ 8586,00)"
Morador,1554,Bloco Despedida de Carnaval,14/02/2018 10:30,14/02/2018 10:37,0:06:34,29,Brasil,Minas Gerais,Belo Horizonte,Rio Branco,Venda Nova,NA,NA,NA,NA,NA,NA,4,550,NA,200,NA,150,200,,,550,1,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,,,Superou,5,7,7,8,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Masculino,Ensino superior completo,Solteiro (a),"de 6 a 7 salarios (R$ 5623,00 – R$ 6678,00)"
Morador,1555,Bloco Despedida de Carnaval,14/02/2018 10:35,14/02/2018 10:42,0:06:33,46,Brasil,Minas Gerais,Belo Horizonte,Santa Efigenia,Leste,NA,NA,NA,NA,NA,NA,6,600,NA,500,NA,100,,,,600,1,Outro,Sim,Melhorou,,Atendeu plenamente,1,5,8,10,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Populaçao,,Masculino,Ensino superior completo,Casado (a),Nao respondeu
Morador,1556,Bloco Despedida de Carnaval,14/02/2018 10:37,14/02/2018 10:42,0:05:27,27,Brasil,Minas Gerais,Belo Horizonte,Santo Agostinho,Centro sul,NA,NA,NA,NA,NA,NA,5,250,NA,100,NA,100,50,,,250,1,Amigos/Familiares,Sim,"Nem melhorou, nem piorou",,Atendeu plenamente,7,8,6,9,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Skol,,Feminino,Ensino superior completo,Solteiro (a),"de 2 a 3 salarios (R$ 1875,00 – R$ 2862,00)"
Morador,1557,Bloco Despedida de Carnaval,14/02/2018 10:39,14/02/2018 10:45,0:06:27,46,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,NA,NA,NA,NA,NA,NA,6,500,NA,200,NA,200,100,,,500,1,Amigos/Familiares,Sim,Melhorou,,Atendeu plenamente,1,4,2,7,Sim,,Sim,Nao,Nao,Nao,NA,NA,NA,NA,NA,Nao sabe,,Feminino,Ensino superior completo,Solteiro (a),"de 5 a 6 salarios (R$ 4686,00 – R$ 5724,00)"
Visitantes,1558,Bloco Despedida de Carnaval,14/02/2018 10:39,14/02/2018 10:50,0:10:11,19,Brasil,Minas Gerais,Teofilo Otoni,NA,NA,Sim,30,Casa de Amigos/Parentes,onibus rodoviario,Nao,Lazer,3,250,,200,50,,,,,250,1,Amigos/Familiares,Nao,,,Superou,5,9,6,10,Sim,,Sim,Nao,Nao,Nao,Sim,Nao,Nao,Nao,Sim,Nao sabe,,Feminino,Ensino medio completo,Solteiro (a),"de 1 a 2 salarios (R$ 954,00 – R$ 1908,00)"
