,index,morador,numero_controle,bloco,bloco_classificacao,dt_visita,dt_termino,tempo_total_entrev,idade,pais,estado,cidade,bairro_bh,regiao_bh,t_pernoite,t_qtpernoite,t_hospedagem,t_transp,t_motivo,t_outro_motivo,dias_carnaval,gasto_total,t_hospedagem.1,alimentacao,t_atrativos_passeios,transporte_interno,compras,ingressos,outros,total,qtd_pessoas_gasto,fonte_carnaval,participou_anos_anteriores,evolucao,motivo,expectativas,aval_geral,aval_banheiros,aval_seguranca,aval_precos,proxima_edicao,motivo_nao,blocos_de_rua,escola_samba_caricato,eventos_privados,palcos,t_visita_amigos,t_city_tour,t_visita_cultural,t_compras,t_gastronomia,principal_patrocinador,outro_patrocinador,genero,escolaridade,estado_civil,faixa_renda,int_renda,nivel_gastos,categoria_escolaridade,categoria_transporte,categoria_hospedagem,categoria_regiao,faixa_etaria
661,687,Morador,688,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:33:00,2018-02-12 10:41:00,0 days 00:07:30,23,Brasil,Minas Gerais,Belo Horizonte,Sao Geraldo,Leste,,,,,,,6,325.0,,190.0,,60.0,60.0,0.0,15.0,325.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Sim,Melhorou,Nao respondeu,Superou,10.0,10.0,8.0,8.0,True,Retornara,True,False,False,False,,,,,,Skol,Outro,Feminino,Ensino superior incompleto,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Graduado,,Outros,Sudeste,Jovem adulto
662,688,Morador,689,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:34:00,2018-02-12 10:39:00,0 days 00:05:21,26,Brasil,Minas Gerais,Belo Horizonte,Maria Helena,Venda Nova,,,,,,,5,500.0,,200.0,,200.0,100.0,0.0,0.0,500.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Atendeu plenamente,6.0,6.0,7.0,9.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Feminino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Adulto
663,689,Morador,690,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:34:00,2018-02-12 10:44:00,0 days 00:09:41,23,Brasil,Minas Gerais,Igarape,Desconhecido,Desconhecido,,,,,,,5,780.0,,400.0,,100.0,0.0,280.0,0.0,780.0,1.0,Nao sabe,Sim,Melhorou,Nao respondeu,Atendeu plenamente,1.0,3.0,7.0,7.0,True,Retornara,True,False,True,False,,,,,,Populaçao,Nao possui,Masculino,Ensino superior completo,Solteiro (a),"Acima de 8 salários (acima de R$ 7.632,00)",8,Médio,Graduado,,Outros,Sudeste,Jovem adulto
664,690,Morador,691,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:35:00,2018-02-12 10:42:00,0 days 00:06:19,34,Brasil,Minas Gerais,Belo Horizonte,Luxemburgo,Centro sul,,,,,,,5,200.0,,200.0,,0.0,0.0,0.0,0.0,200.0,1.0,"Redes Sociais (Facebook, Twitter, Instagram, Whatsapp)",Nao,Nao respondeu,Nao respondeu,Superou,10.0,10.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Prefeitura,Feminino,Pos – Graduaçao – Mestrado,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Pós,,Outros,Sudeste,Adulto
665,691,Morador,692,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:35:00,2018-02-12 10:41:00,0 days 00:05:09,18,Brasil,Minas Gerais,Contagem,Desconhecido,Desconhecido,,,,,,,3,40.0,,40.0,,0.0,0.0,0.0,0.0,40.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Superou,9.0,7.0,4.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Nao possui,Masculino,Ensino medio completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
666,692,Morador,693,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:35:00,2018-02-12 10:43:00,0 days 00:07:11,22,Brasil,Minas Gerais,Belo Horizonte,Leticia,Venda Nova,,,,,,,2,100.0,,50.0,,50.0,0.0,0.0,0.0,100.0,7.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Atendeu plenamente,6.0,6.0,7.0,9.0,True,Retornara,True,False,False,False,,,,,,Skol,Ambev,Masculino,Ensino medio completo,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Ensino Básico,,Outros,Sudeste,Jovem adulto
667,693,Morador,694,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:36:00,2018-02-12 10:41:00,0 days 00:05:40,55,Brasil,Minas Gerais,Belo Horizonte,Paraiso,Leste,,,,,,,4,400.0,,400.0,,0.0,0.0,0.0,0.0,400.0,1.0,Amigos/Familiares,Nao,Nao respondeu,Nao respondeu,Superou,2.0,10.0,7.0,10.0,True,Retornara,True,False,False,False,,,,,,Populaçao,Nao possui,Feminino,Ensino superior completo,Divorciado (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",5,Baixo,Graduado,,Outros,Sudeste,Meia-idade
668,694,Morador,695,Bloco Havayanas Usadas,Outros,2018-02-12 10:36:00,2018-02-12 10:55:00,0 days 00:18:26,43,Brasil,Minas Gerais,Belo Horizonte,Vera Cruz,Leste,,,,,,,1,100.0,,50.0,,15.0,0.0,0.0,35.0,100.0,1.0,Internet (site),Sim,Melhorou,Nao respondeu,Atendeu plenamente,10.0,10.0,10.0,10.0,True,Retornara,True,False,False,False,,,,,,Skol,Skol,Feminino,Ensino superior completo,Solteiro (a),"De 1 a 2 salários (R$ 954,00 - R$ 1.908,00)",2,Baixo,Graduado,,Outros,Sudeste,Meia-idade
669,695,Morador,696,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:37:00,2018-02-12 10:42:00,0 days 00:05:23,29,Brasil,Minas Gerais,Belo Horizonte,Nova Suissa,Oeste,,,,,,,5,500.0,,400.0,,100.0,0.0,0.0,0.0,500.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Atendeu plenamente,2.0,8.0,1.0,9.0,True,Retornara,True,False,False,False,,,,,,Skol,Prefeitura,Masculino,Ensino superior completo,Solteiro (a),"De 4 a 8 salários (R$ 3.816,00 - R$ 7.632,00)",7,Baixo,Graduado,,Outros,Sudeste,Adulto
670,696,Morador,697,Baianas Ozadas,Baianas Ozadas,2018-02-12 10:37:00,2018-02-12 10:43:00,0 days 00:05:52,31,Brasil,Minas Gerais,Belo Horizonte,Sagrada Familia,Leste,,,,,,,5,400.0,,300.0,,100.0,0.0,0.0,0.0,400.0,1.0,Amigos/Familiares,Sim,Melhorou,Nao respondeu,Atendeu plenamente,1.0,8.0,5.0,9.0,True,Retornara,True,False,False,False,,,,,,Prefeitura,Skol,Masculino,Ensino superior incompleto,Solteiro (a),"De 2 a 4 salários (R$ 1.908,00 - R$ 3.816,00)",3,Baixo,Graduado,,Outros,Sudeste,Adulto
